id,genre,track_name,artist_name,valence,energy
300DzFkBAgf9PgPbl0ta4o,afrobeat,Khona,Dschinghis Khan,0.448,0.655
0RdXMS28fH63l6Is3eHZXM,afrobeat,See Me So,2Baba,0.853,0.484
4aQxm07DiCmrw087lBiICT,afrobeat,Peace In Liberia,Various Artists,0.904,0.557
3mklugf2vUOmXqh7S17aVM,afrobeat,Psychedelic Woman,Various Artists,0.628,0.876
6ma7kNoIMwE9OgMwVhL3JH,afrobeat,Sawt El-wahuch (Le Chant Des Fauves),Terakaft,0.432,0.458
4Pl8ViAolRF4rK8QBMhKd9,afrobeat,Redemption Song,Bob Marley & The Wailers,0.698,0.259
4QZ6TKJpZZusMnKXvdJwZx,afrobeat,Dance (feat. Wizkid),R2Bees,0.909,0.953
1wCaldygX7fpq4Hx4LjluH,afrobeat,Gentleman,Fela Kuti,0.678,0.794
60sz0jcrIVGFvYsXL5IYT6,afrobeat,If to Say,Various Artists,0.943,0.81
4Q33HiVThLk7DDDAfyu8S2,afrobeat,Onyame eyhira(produced By Kaywa) (feat. Castro),Sarkodie,0.511,0.856
5JetF2yqEh2GZBu5J5oe2t,afrobeat,Muchana (Zouk Love),Kanda Bongo Man,0.879,0.766
0WjBwFCJ9lFyPrNKAogEew,afrobeat,Iyo Djeli,Various Artists,0.836,0.734
3HSC3C87HV2H2L7VXG0P3S,afrobeat,Beto,Ali Farka Touré,0.466,0.518
72I65ZHq5CvIxBttM71ane,afrobeat,Unissons Nous - feat. Keziah Jones,Amadou & Mariam,0.619,0.832
2craYXfaMoW7OGXzOYw4Bg,afrobeat,Let Them Talk,Geraldo Pino,0.928,0.698
07O7ypl5bdCKUop3MW7N9F,afrobeat,Diarabi,Boubacar Traoré,0.531,0.455
3HpqoffTzMozYYZru9qapf,afrobeat,Ilham,Souad Massi,0.657,0.868
2eepRxzqOynKv8WObUtfTa,afrobeat,Slow Down (feat. Wizkid),R2Bees,0.673,0.728
6MBZHOilZfNn5cVNRYXjVT,afrobeat,Jupa Original,Various Artists,0.859,0.677
4AVIdds2A4E4UsZcVU0Uso,afrobeat,I Wish You Were Here,Alpha Blondy,0.58,0.566
2gK3Mp8XdNk4wtXyytQTC9,afrobeat,Dieuf Dieul,Cheikh Lô,0.768,0.579
4qhCr0hoYkQLhhkfur6Jbp,afrobeat,Jonkoloni,Bassekou Kouyate,0.873,0.666
52sqUHimT5hjxbkE7DUfJQ,afrobeat,Makambo,Geoffrey Oryema,0.276,0.136
2Kn9cY1wz5ZDyBdSo0vvii,afrobeat,Gbagada Gbagada Gbogodo Gbogodo,Fela Kuti,0.818,0.635
0yfeyqPCZrkyC3hxb6ycIH,afrobeat,Mwana,Staff Benda Bilili,0.921,0.866
5HQVUIKwCEXpe7JIHyY734,afrobeat,"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,0.531,0.655
6NPVjNh8Jhru9xOmyQigds,afrobeat,Happy,Various Artists,0.962,0.757
2pJKh0H5YG0ESWMytQdUQ3,afrobeat,Birima,Youssou N'Dour,0.765,0.685
3aE0O99WPzRZ0UeSX9Boan,afrobeat,Tonight,Burna Boy,0.711,0.624
2ha70kafYrxpwKB2DHLTJT,afrobeat,Greetings,Various Artists,0.822,0.872
60UNH3Bd5rEkqBR694q7MD,afrobeat,Juju,Ice Prince,0.878,0.708
6iZZeX2tFKYEAtU0gN38oE,afrobeat,Gagner l'argent français (Radio Edit),Mamani Keïta,0.937,0.865
13ZxF2d4gzN0Qnhr8gRkWe,afrobeat,He Lives In You (Reprise),Various Artists,0.524,0.344
7ceisg9MpCeJoLaoPfyu0V,afrobeat,Tonga,Joey B,0.538,0.645
78cf9pAmzyaHLQJtUfWiZ4,afrobeat,Pépé Kalle,Wendo Kolosoy,0.866,0.472
3f8eBPw6U1HDtoaypMVX4v,afrobeat,,,0.903,0.85
2KO00cY85Xc87Ix7yeCCtl,afrobeat,Ledi Coumbe,Ali Farka Touré,0.755,0.449
6C6xlP5zYRhYSNI5ORl6Wd,afrobeat,Don't Dull,WizKid,0.925,0.799
18vbMUJK6F4CZwIkyUHtwr,afrobeat,Diallo,Vieux Farka Touré,0.687,0.723
64NibWSxMCKaxurg4OW5Dd,afrobeat,Jombolo,Iyanya,0.663,0.871
4ADxDfrGrTw6D1slX8wUVS,afrobeat,Redemption Song,Various Artists,0.572,0.529
5sje4m7tHVMFjX6x0kGowh,afrobeat,Mandjou,Salif Keita,0.763,0.643
6JufTYmSErPhic1jK4IT8i,afrobeat,Ya Messinagh,Tinariwen,0.732,0.545
4T6D5fwa4yNjcl58JQongI,afrobeat,Afro Shigida – Original Lagos Cut,Kojato,0.816,0.879
2YvGLm7HGIRwzH1pgQDmRP,afrobeat,Secret Agent,Tony Allen,0.95,0.604
0e5UqCO2phP2DgD4aYSeEA,afrobeat,Sechaba,Various Artists,0.674,0.28
1r8V85iUIeGJ5LOFcYbyEo,afrobeat,Umhome,Miriam Makeba,0.561,0.0278
47Yzdc2tvRr12iQZkHKx3z,afrobeat,Iniagige,Salif Keita,0.571,0.111
37pTPl9fc7hgSI7cO5GbOs,afrobeat,Akwaaba,Blitz The Ambassador,0.788,0.953
2DrGFzrWGzAaIV3Q6vBOdC,afrobeat,Kadi Kadi,Ali Farka Touré,0.756,0.479
0MEn5wVttIHOLTgRQtWcOv,afrobeat,Aïcha,Africando,0.663,0.737
0XzkemXSiXJa7VgDFPfU4S,afrobeat,Blurred Lines,Robin Thicke,0.863,0.503
6dPj5BVcu3Sh9pOG1I6l5r,afrobeat,The Retreat Song,Miriam Makeba,0.746,0.266
71uMowNE0zT9M0FI8MoGBm,afrobeat,Fanta bourama,Various Artists,0.651,0.657
64kq7969WB5YTeW61hHmWf,afrobeat,Yefikir Tizita,Mulatu Astatke,0.595,0.275
5SNmkq6aUSZsinDvR440YP,afrobeat,Ambiance à l'africaine,Magic System,0.734,0.773
3AF8QpzspG8btjyd4s3bjM,afrobeat,Tchwa,Rokia Traoré,0.606,0.268
3oJOtvPbyOqRPlFvspQP3o,afrobeat,Djuru,Amadou & Mariam,0.697,0.798
6JtUHAH22sgKdPmwNhAWD3,afrobeat,Let's Start,Fela Kuti,0.746,0.852
55fC1vUs7mVzOH7RipVlXR,afrobeat,Palea,Dobet Gnahoré,0.603,0.453
5rr7qvhwIAaBvl9v7GD0Dh,afrobeat,Tenere Dafeo Nikchan,Tinariwen,0.348,0.27
1jIkbwboZBGhyC16T5j4gf,afrobeat,Tabara,Vieux Farka Touré,0.525,0.347
0bg6otrW5gxNnlCqrCrXyd,afrobeat,Dynamite,Taio Cruz,0.818,0.804
3l33exrFeurvriZ5kfYHvH,afrobeat,Antenna,Fuse ODG,0.849,0.949
1RyD0KjAXl8YqjfmM63cbu,afrobeat,Sina (Soumbouya),Salif Keita,0.779,0.8
4ww7h5dDP2HLNEGeKUNKpd,afrobeat,Soundway,Various Artists,0.805,0.894
1nS5B50pKajeniz9fCMDnH,afrobeat,Sorrow Tears & Blood,Fela Kuti,0.827,0.78
4Vsvr0gySe7Ql93OTnA5mH,afrobeat,Aimer,Rokia Traoré,0.892,0.534
